id,count
97017439,1
179014686,1
126471719,10
169061944,1
11973378,1
99992274,1
291293152,4
75277726,6
118664413,8
186139058,1
178290786,1
184899103,1
163043651,1
248532700,1
166747492,1
28696163,1
220489263,1
146999982,6
78341587,77
108183518,1
106235885,3
87832209,30
115806772,3
18869916,1
10216256,1
259994621,1
65421540,5
5232588,3
37092665,1
67628444,5
195800610,1
206210282,3
17299575,1
287668512,2
193442134,1
15680561,3
101030173,1
57798235,15
286468828,1
288449536,1
138483324,1
139769742,1
215833301,2
260132853,1
217917011,1
77792512,3
285282740,1
147859903,29
95761491,1
47506504,1
154527422,1
204829406,1
190961031,1
170384573,1
90541290,14
82174211,22
162179898,1
192436140,1
238466173,1
298222970,3
303300985,1
207406826,1
85547059,1
260686668,1
96014467,29
38055594,2
215160630,30
218952383,1
224943279,1
229179750,1
68049243,12
115275499,1
168377116,1
181297952,1
216189719,1
159777976,1
4325465,1
41934963,1
48028873,69
291907288,1
51905751,3
57433226,17
95203343,1
222319850,1
217368291,1
193494703,1
303024195,1
202598205,6
161248480,3
215508170,1
131940023,52
297279953,2
252507011,1
172437595,1
95911580,13
130021142,2
175270022,1
126074325,1
239235805,1
93413084,21
189451813,1
64366280,3
136495026,18
236596014,6
200750585,2
41089194,1
24366790,27
98928829,7
242094123,1
89732768,19
152302676,1
124556386,25
87907200,20
206807160,1
110489310,5
194097479,1
241348923,1
123732393,1
216025815,42
158159336,11
228706143,1
298263185,1
296917506,1
174415183,3
191810425,1
86332470,8
221695617,2
54888069,3
289524714,1
86978692,1
181373107,1
193156880,44
15951451,1
64971477,2
222035871,1
107377573,47
171452409,1
251164636,6
173051184,1
74811317,1
50967861,1
156859477,1
298505728,1
62545742,15
204749083,1
273817824,2
294391279,1
103373255,1
23492094,45
201816765,7
132180557,19
195147702,2
200560312,1
39758678,8
7431946,27
200345112,1
196594918,1
274410276,1
241230534,4
115037563,42
194842424,2
236434806,11
239611310,1
114972372,10
281216836,1
70970228,5
77279068,14
245350724,1
111003429,1
159946174,7
269770460,1
216931933,1
80164199,9
129796010,1
249626280,6
307242646,1
306690580,1
154105212,1
20643309,1
31887973,3
250378500,1
215518655,2
199047757,1
198825628,2
235359505,1
144276946,1
195694153,1
255085221,2
129825010,1
98278869,1
69587339,5
234467038,3
193471217,1
95137775,12
191747590,6
163961414,1
56333620,20
309626088,1
186885794,1
102322335,1
147251779,1
96204317,11
160922242,9
286445618,1
120639809,1
205532682,1
151481334,1
225787781,1
175720527,1
196894502,1
165020079,1
55143039,5
202600291,1
127977081,1
245064847,1
70751853,1
202585832,1
178168238,5
7440594,41
131032344,12
237388314,1
82792464,1
138242360,1
259934396,1
94356420,1
214276866,1
228908339,7
206597662,1
77378306,2
52942891,5
170176187,1
199134746,1
83219649,1
92393218,59
85759872,8
98625085,1
59537590,2
226734923,1
72958745,6
103805799,1
114364553,3
163988065,1
171918937,1
202043465,1
112110682,22
281376430,1
174204642,3
154123088,6
298478157,1
29915651,2
103171339,1
296426951,2
303090541,1
293002110,1
14098833,2
197765864,1
165523661,1
56198811,1
237298602,1
75011941,5
115192877,4
272181160,6
186450119,1
233648242,1
205014771,11
182412202,3
95044091,6
70052469,1
